"wbic","county","waterbody.name","trtyco","trtystat","trtyprop","resstat","resprop","outarea","region","wtm91.x","wtm91.y","lat","long","lake.area","class.code","shore.length","max.depth","draintype.code","depth.below.20","depth.above.3","sand","gravel","rock","muck","drainage","drainage.ag","drainage.wild","watershed.desc","source","outlet","water.fluct","wet.adj","public.desc","wae.code","mus.code","lake.chain.code"
20,"unknown","lake_michigan",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"door","green_bay",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"door","jackson_harbor",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"door","washington_harbor",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"door","west_harbor",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"door","detroit_harbor",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"door","wisconsin_bay",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"door","garretts_bay",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"door","ellison_bay",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"door","sister_bay",0,0,0,0,0,0,"ner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
